fish	/fiʃ/	n.(pl.fish(es))鱼;鱼肉v.捕鱼;钓鱼
listen	/'lisən/	vi.倾听(与介词to并用,方可置宾语)
literacy	/'litərəsi/	n.有文化,有教养,读写能力
literally	/'litərəli/	ad.照字面意义,逐字地;确实
literary	/'litərəri/	a.文学上的,文学的;精通文学的,从事写作的
literature	/'litərətʃə/	n.文学,文学作品,文献,图书资料,印刷品
litre	/'li:tə/	n.(liter)升;公升(容量单位)
litter	/'litə/	n.垃圾,(杂乱的)废物v.使杂乱,乱丢
little	/'litl/	a.小,幼小;不多的ad./n.不多,几乎没有
live	/liv/	v.活着,生活,居住a.活的,生动的,直播的
lively	/'laivli/	a.活泼的,活跃的;栩栩如生的,真实的
liver	/’lɪvər/	n.肝,肝脏
living	/'liviŋ/	a.活的,有生命的,天然的,逼真的n.生活,生计
living-room	/ˈlɪvɪŋ ruːm,ˈlɪvɪŋ rʊm/	n.起居室
load	/ləud/	v.装(货),装载n.装载(量),负荷(量);(一)担
loaf	/ləuf/	n.一个面包
loan	/ləun/	n.贷款;出借,借出v.借出
lobby	/'lɔbi/	n.门廊,门厅,(会议)休息厅
local	/'ləukəl/	a.地方的,当地的;局部的
locality	/ləu'kæləti/	n.位置,地点
locate	/ləu'keit,'ləu/	v.查出,探出,查找…地点,使…坐落于,位于
location	/ləu'keiʃən/	n.位置,场所,定位,测位
lock	/lɔk/	n.锁v.锁,锁上
locker	/'lɔkə/	n.更衣箱
locomotive	/'ləukə,məutiv/	n.机车,火车头a.运动的,移动的,运载的
lodge	/lɔdʒ/	v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆
lofty	/'lɔfti,'lɔ:f-/	a.崇高的,高尚的;高傲的;极高的
log	/lɔɡ,lɔ:ɡ/	n.原木,圆木;航海日志
logic	/'lɔdʒik/	n.逻辑,逻辑学
logical	/'lɔdʒikəl/	a.逻辑的,符合逻辑的
lonely	/'ləunli/	a.孤独的,寂寞的;荒凉的,人迹稀少的
long	/lɔŋ,lɔ:ŋ/	a.长的,长时间的,长期的ad.长久,长期地
longitude	/'lɔndʒitju:d,-tu:d/	n.经度
look	/luk/	vi./n.看,注视v.好像,显得n.外表,脸色
loom	/lu:m/	n.织布机,织机v.隐现,(危险、忧虑等)迫近
loop	/lu:p/	n.圈,环
loose	/lu:s/	a.(宽)松的;不精确的;自由的,散漫的
loosen	/'lu:sən/	v.解开,放松
lord	/lɔ:d/	n.(Lord)上帝,主;主人,长官,君主,贵族
lorry	/'lɔ:ri,'lɔ:-/	n.卡车,运货汽车
lose	/lu:z/	v.丢失,迷路,输掉,亏本,失败,走慢,使沉湎于
loss	/lɔs,lɔ:s/	n.丧失,遗失;损失,损耗,亏损;失败
lot	/lɔt/	n.许多,大量;签,抽签;命运;场地
lottery	/'lɔtəri/	n.抽彩;碰运气的事,难于算计的事
loud	/laud/	a.大声的,响亮的;吵闹的,喧嚣的
loudspeaker	/'laud'spi:kə/	n.扬声器,扩音器
lounge	/laundʒ/	n.休息室,起居室,客厅
love	/lʌv/	n.爱,爱情,喜欢vt.爱,热爱;爱好,喜欢
lovely	/'lʌvli/	a.可爱的,好看的;令人愉快的,美好的
lover	/'lʌvə/	n.爱好者;(pl.)情侣
low	/ləu/	a.低,矮;低级的,下层的,卑贱的;低声的
lower	/'ləʊə/	a.较低的,下级的,下游的v.降下,放低
loyal	/'lɔiəl/	a.(to)忠诚的,忠贞的
loyalty	/'lɔiəlti/	n.忠诚,忠心
lubricate	/'lubrikeit/	v.润滑,加润滑油,行贿,收买
luck	/lʌk/	n.运气;好运,侥幸
lucky	/'lʌki/	a.幸运的,侥幸的
luggage	/'lʌɡidʒ/	n.行李,皮箱
lumber	/'lʌmbə/	n.木材,木料
lump	/lʌmp/	n.团,块v.(使)成团,(使)成块
lunar	/'lju:nə/	a.月亮的
lunch	/lʌntʃ/	n.午餐,(美)便餐
lung	/lʌŋ/	n.肺
lure	/ljuə/	n.吸引力,魅力,诱惑物vt.引诱,吸引
luxury	/'lʌkʃəri,'lʌɡʒəri/	n.奢侈,华贵;奢侈品a.奢华的,豪华的
machine	/mə'ʃi:n/	n.机器,机械v.用机器加工
machinery	/mə'ʃi:nəri/	n.(总称)机器,机械
mad	/mæd/	a.发疯的;狂热的,着迷的;恼火的,生气的
madame	/mɑ:'dɑ:m,'mædəm/	n.(madam)夫人,太太,女士
magazine	/,mæɡə'zi:n/	n.杂志,期刊
magic	/'mædʒik/	n.魔术,魔(魅)力,巫术a.有魔力的,魔术的
magistrate	/'mædʒistreit/	n.地方行政官,地方法官,治安官
magnet	/'mæɡnit/	n.磁体,磁铁
magnetic	/mæɡ'netik/	a.磁的,有磁性的;有吸引力的
magnificent	/mæɡ'nifisənt/	a.华丽的,高尚的,宏伟的
magnify	/'mæɡnifai/	vt.放大,扩大,夸大,夸张
magnitude	/'mæɡnitju:d/	n.大小,数量;巨大,广大
maid	/meid/	n.少女,处女,女仆
maiden	/'meidən/	n.少女,处女a.未婚的,纯洁的,无经验的
mail	/meil/	n.邮件v.邮寄
main	/mein/	a.主要的,总的n.总管道;干线
mainland	/'meinlənd/	n.大陆,本土
maintain	/mein'tein/	v.维修,保养,维持,供养,坚持,主张,支持
maintenance	/'meintənəns/	n.维修,保养,维持,保持,生活费用
majesty	/'mædʒisti/	n.雄伟,壮丽,庄严,威严;最高权威,王权
major	/'meidʒə/	a.主要的n.成年人,专业学生,主修课程v.主修
majority	/mə'dʒɔriti/	n.多数,大多数,成年,法定年龄
make	/meik/	n.(产品)来源,制法vt.制造,做成,准备
male	/meil/	n./a.男性(的),雄性(的)
malignant	/mə'liɡnənt/	a.恶性的,致命的;恶意的,恶毒的
mammal	/'mæməl/	n.哺乳动物
man	/mæn/	n.(pl.men)人;人类(单数,不加冠词);男人
manage	/'mænidʒ/	v.经营,管理,处理;设法,对付;操纵,运用
management	/'mænidʒmənt/	n.经营,管理;处理,操纵;管理部门
manager	/'mænidʒə/	n.经理,管理人
maneuver	/mə'nu:və/	n.(manoeuvre)机动;运用,操作;v.机动
manifest	/'mænifest/	v.表明,证明,显示a.明白的,明了的
manipulate	/mə'nipjuleit/	vt.(熟练地)使用,操作;(巧妙地)处理
mankind	/,mæn'kaind/	n.人类
manner	/'mænə/	n.方式;举止;(pl.)风度,礼貌;规矩;风俗
manual	/'mænjuəl/	a.手的,手工做的,体力的n.手册,指南
manufacture	/,mænju'fæktʃə/	v.制造,加工n.制造,制造业;产品
manuscript	/'mænjuskript/	n.手稿,原稿
many	/'meni/	a.许多的,多的pron.许多人或物,许多
map	/mæp/	n.地图,图vt.在地图上标示出,绘制地图
marble	/'mɑ:bl/	n.大理石,云石
march	/mɑ:tʃ/	v.(使)行军,(使)行进n.行军,行程
March	/mɑ:tʃ/	n.三月(略作Mar.)
margin	/'mɑ:dʒin/	n.页边空白;边缘;余地;幅度
marginal	/'mɑ:dʒinəl/	a.记在页边的,旁注的;(意识)边缘的
marine	/mə'ri:n/	a.海的,海生的;船舶的,航海的
marital	/'mæritəl/	a.婚姻的,夫妻之间的
mark	/mɑ:k/	n.痕迹;记号;分数v.标记,打分,使有特色
market	/'mɑ:kit/	n.集市,市场;销路,需求(量)v.销售
marriage	/'mæridʒ/	n.结婚,婚姻;结婚仪式
married	/'mærid/	a.已婚的,夫妇的;(to)与…结婚的
marry	/'mæri/	v.结婚,嫁,娶
marvelous	/ˈmɑːvələs/	a.(marvellous)惊人的,奇迹般的,妙极的
Marxist	/ˈmɑːksɪst/	a.马克思主义的n.马克思主义者
masculine	/'mæskjulin/	a.男性的,似男性的;［语法］阳性的
mask	/mɑ:sk,mæsk/	n.面具,面罩;假面具,伪装v.掩饰,化装
mass	/mæs/	n.大量,众多;团,块;(pl.)群众,民众;质量
massacre	/'mæsəkə/	vt.残杀,集体屠杀n.残杀,大屠杀
massive	/'mæsiv/	a.大而重的,厚实的,粗大的;大规模的,大量的
master	/'mɑ:stə,'mæstə/	n.男主人;师傅;硕士v.精通,控制a.主要的
masterpiece	/'mɑ:stəpi:s,'mæs-/	n.杰作,名著
mat	/mæt/	n.席子,垫子
match	/mætʃ/	n.火柴;比赛,竞赛;对手,配偶v.匹配,相称
mate	/meit/	n.伙伴,同事,同伴,配偶v.结伴,配对,交配
material	/məˈtɪriəl/	n.材料,原料,资料a.物质的,肉体的,实质性的
mathematical	/,mæθi'mætikəl/	a.数学的;数学上的
maths	/mæθs/	n.(mathematics/math)数学
matter	/'mætə/	n.物质,物体;毛病,麻烦;事情v.有关系,要紧
mature	/mə'tjuə/	a.成熟的,熟的;成年人的v.(使)成熟
maximum	/'mæksiməm/	n.最大值,极限a.最大的,最高的
may	/mei/	aux.v.可能,也许;可以,被允许;祝,愿
May	/mei/	n.五月
maybe	/'meibi/	adv.可能;大概;也许
mayor	/'mεə/	n.市长
me	/mi:,弱mi/	pron./I的宾格/我
meadow	/'medəu/	n.草地,牧场
meal	/mi:l/	n.膳食,一餐
mean	/mi:n/	v.表示…的意思a.卑鄙的;平均的n.平均值
meaning	/'mi:niŋ/	n.意思,意义,含义;重要性,价值
means	/mi:nz/	n.方法,手段
meantime	/'mi:n'taim/	n.(meanwhile)其间,其时ad.同时,当时
meanwhile	/'mi:nwail/	n.其时,其间ad.当时,与此同时
measure	/'meʒə/	v.测量,分派,权衡n.尺寸,量度器,措施,办法
meat	/mi:t/	n.(食用)肉类
mechanic	/mi'kænik/	n.技工,机修工
mechanical	/mi'kænikəl/	a.机械的,由机构制成的;机械似的,呆板的
mechanism	/'mekənizəm/	n.机械装置,机构;机制
medal	/'medəl/	n.奖章,勋章,纪念章
medical	/'medikəl/	a.医学的,医疗的,医药的;内科的
medicine	/'medisin/	n.内服药,医药;医术;医学,内科学
medieval	/,medi'i:vəl,,mi:-/	a.中世纪的,中古(时代)的,老式的,原始的
meditate	/'mediteit/	v.想,考虑,(尤指宗教上的)沉思,冥想
meditation	/,medi'teiʃən/	n.熟虑;(尤指宗教的)默想,沉思;(pl.)冥想录
medium	/'mi:diəm,-djəm/	n.(pl.media)媒体,方法,媒介,介质a.中等的
meet	/mi:t/	n.会,集会v.遇见;会谈;迎接;满足;符合
meeting	/'mi:tiŋ/	n.会议,集合,汇合,会见,接见,汇合点
melody	/'melədi/	n.旋律,曲调;悦耳的音乐
melon	/'melən/	n.甜瓜
melt	/melt/	v.(使)融化,(使)熔化
member	/'membə/	n.成员,会员
membership	/'membəʃip/	n.会员资格,成员资格
memo	/'meməu/	n.(memorandum)备忘录
memorial	/mi'mɔ:riəl,-'məu-/	a.记忆的,纪念的n.纪念物,纪念碑,纪念馆
memory	/'meməri/	n.记忆,记忆力;回忆;存储(器)
menace	/'menəs/	vt./n.有危险性的人(或物);威胁,威吓
mend	/mend/	v.修理,缝补;改正,改进
mental	/'mentəl/	a.精神的,思想的,心理的,智力的,脑力的
mention	/'menʃən/	v./n.提及,说起
menu	/'menju:,mə'nju:/	n.菜单
merchandise	/'mə:tʃəndaiz,-dais/	n.商品,货物
merchant	/'mə:tʃənt/	n.商人,零售商
mercury	/'mə:kjuri/	n.水银,汞
mercy	/'mə:si/	n.仁慈,怜悯,宽恕
mere	/miə/	a.纯粹的;仅仅,只不过
merely	/'miəli/	adv.仅仅,只不过
merge	/mə:dʒ/	v.(使)结合,(使)合并,(使)合为一体
merit	/'merit/	n.优点,价值,功绩v.值得,应得
merry	/'meri/	a.欢乐的,愉快的
mess	/mes/	n.混乱,混杂,脏乱v.弄脏,弄乱,搞糟
message	/'mesidʒ/	n.消息,信息,通讯,启示,教训,广告词,预言
messenger	/'mesindʒə/	n.送信者,使者,传令兵
metal	/'metəl/	n.金属,金属制品
metaphor	/'metəfə/	n.隐喻,暗喻
method	/'meθəd/	n.方法,办法
metre	/'mi:tə/	n.(meter)米,公尺;仪表,计量器
metric	/'metrik/	a.米制的,公制的
metropolitan	/,metrə'pɔlitən/	a.首都的,主要都市的,大城市
microphone	/'maikrəfəun/	n.话筒,扩音器
microscope	/'maikrəskəup/	n.显微镜
middle	/'midl/	n./a.中间(的),当中(的)
midst	/midst/	n.中间,当中
might	/mait/	aux.v.可能,也许n.力量,威力,权力
migrate	/mai'ɡreit,'maiɡ-/	v.迁移,移居(国外)
mild	/maild/	a.温和的,轻微的,味淡的,不含有害物质的的
mile	/mail/	n.英里,哩,海里
militant	/'militənt/	a.好战的,富于战斗性的n.斗士
military	/'militəri/	a.军事的,军用的,军队的
milk	/milk/	n.牛奶;(植物流出的)白色乳液v.挤奶
mill	/mil/	n.磨粉机,磨坊;作坊,工厂
millimeter	/'mili,mi:tə/	n.(millimetre)毫米
million	/'miljən/	num./n.百万,百万个
millionaire	/,miljə'nεə/	n.百万富翁
mind	/maind/	n.精神,理智,意见,记忆力v.注意,介意,反对
mine	/main/	pron.(I的物主代词)我的(东西)n.矿v.采矿
mineral	/'minərəl/	n.矿物,矿石a.矿物的,矿质的
mingle	/'miŋɡl/	v.(使)混合
miniature	/'miniətʃə/	n.缩小的模型,缩图a.微型的,缩小的
minimize	/'minimaiz/	v.(minimize)使减少到最少,使降到最低
minimum	/'miniməm/	n.最小值,最低限度a.最小的,最低的
minister	/'ministə/	n.部长,大臣
ministry	/'ministri/	n.(政府的)部;牧师
minor	/'mainə/	a.较小的,较小的n.兼修学科v.(in)兼修
minority	/mai'nɔrəti,mi-/	n.少数,少数派,少数民族
minus	/'mainəs/	a.负的,减的prep.减去n.负号,减号
minute	/'minit/	n.分钟,片刻;(pl.)会议记录a.微小的
miracle	/'mirəkl/	n.奇迹,令人惊奇的人(或事)
mirror	/'mirə/	n.镜子;反映,反射v.反映,反射
mischief	/'mistʃif/	n.损害,伤害,危害;恶作剧,胡闹;灾祸
miserable	/'mizərəbl/	a.痛苦的,悲惨的
misery	/'mizəri/	n.痛苦,悲惨,不幸
misfortune	/mis'fɔ:tʃən/	n.不幸,灾祸,灾难
mislead	/,mis'li:d/	v.把…带错路,使误入岐途
miss	/mis/	n.小姐v.思念,未击中,错过,漏掉,逃脱
missile	/'misail,-səl/	n.导弹,发射物
missing	/'misiŋ/	a.漏掉的,失去的,失踪的
mission	/'miʃən/	n.使命,任务;使团,代表团
missionary	/'miʃənəri/	a.教会的,传教(士)的n.传教士
mist	/mist/	n.薄雾,霭
mistake	/mi'steik/	n.错误,过失,误解v.弄错;(for)把…误认为
mistress	/'mistris/	n.女主人;主妇;情妇,情人
misunderstand	/,misʌndə'stænd/	v.误解,误会
mix	/miks/	v.使混合;混淆
mixture	/'mikstʃə/	n.混合;混合物,混合剂
moan	/məun/	n.呻吟声,悲叹声v.呻吟,抱怨,悲叹
mob	/mɔb/	n.乌合之众(尤指暴力者)vi.围攻,聚众闹事
mobile	/'məubail/	a.可动的,活动的,运动的
mobilize	/'məubilaiz/	v.(mobilise)动员,赋予可动性
mock	/mɔk/	v.嘲笑a.假的,模拟的n.(常pl.)模拟考试
mode	/məud/	n.方式,式样
model	/'mɔdəl/	n.样式,型;模范;模型,原型;模特v.模仿
moderate	/'mɔdərət,'mɔdəreit/	a.有节制的,中等的,适度的,温和的,稳健的
modern	/'mɔdən/	a.现代的,近代的,新式的
modernization	/,mɔdənai'zeiʃən/	n.(modernisation)现代化
modest	/'mɔdist/	a.谦虚的,有节制的
modify	/'mɔdifai/	v.更改,修改,修饰
module	/'mɔdju:l,-dʒu:l/	n.组件,模块,模件;(航天器的)舱
moist	/mɔist/	a.潮湿的,湿润的,多雨的
moisture	/'mɔistʃə/	n.潮湿,湿气,湿度
molecule	/'mɔlikjul/	n.分子
moment	/'məumənt/	n.片刻,瞬间,时刻
momentum	/məu'mentəm/	n.动力,要素
monarch	/'mɔnək,-ɑ:k/	n.帝王,君主,最高统治者
Monday	/ˈmʌndeɪ,ˈmʌndi/	n.星期一
monetary	/'mʌnitəri/	a.金融的,货币的
money	/'mʌni/	n.货币,钱
monitor	/'mɔnitə/	n.班长;监听器,监视器v.监控,监测
monkey	/'mʌŋki/	n.猴子
monopoly	/mə'nɔpəli/	n.垄断,专卖,专利权,专利事业
monotonous	/mə'nɔtənəs/	a.单调的,无变化的
monster	/'mɔnstə/	n.怪物,妖怪,畸形的动植物
month	/mʌnθ/	n.月,月份
monthly	/'mʌnθli/	a.每月的ad.每月一次,按月n.月刊
monument	/'mɔnjumənt/	n.纪念碑,纪念馆,遗迹,不朽的业绩
mood	/mu:d/	n.心情,情绪;语气
moon	/mu:n/	n.(加the)月球,月亮;卫星
moral	/'mɔrəl,'mɔ:-/	a.道德(上)的,精神上的n.寓意,教育意义
morality	/mə'ræləti,mɔ:-/	n.道德,美德
more	/mɔ:/	a.更多的n.更多的人(或东西)ad.更,更多
moreover	/mɔ:'rəuvə/	conj./ad.再者,加之,而且
morning	/'mɔ:niŋ/	n.早晨,上午
mortal	/'mɔ:təl/	a.致命的;终有一死的;人世间的n.凡人
mortgage	/'mɔ:ɡidʒ/	n./v.抵押(借款)
mosaic	/məu'zeiik/	n.马赛克;镶嵌体
mosquito	/mə'ski:təu/	n.蚊子
moss	/mɔs/	n.苔,藓,地衣
most	/məust/	a.最多的;大多数的ad.最;极其n.大多数
mostly	/'məustli/	ad.几乎全部地;主要地,大部分,基本上
motel	/məu'tel/	n.(附有停车场的)汽车旅馆
mother	/'mʌðə/	n.母亲
motion	/'məuʃən/	n.运动,动;提议,动议v.提议,动议
motivate	/'məutiveit/	vt.促动;激励,鼓励,作为…的动机
motive	/'məutiv/	n.动机,目的a.发动的,运动的
motor	/'məutə/	n.发动机,电动机
mould	/məuld/	n.(mold)模子,铸型v.浇铸,造型,塑造
mount	/maunt/	v.登上;安装n.支架,底板;(用于山名前)山峰
mountain	/'mauntin/	n.山
mourn	/mɔ:n,məun/	v.哀悼,忧伤
mouse	/maus,mauz/	n.(pl.mice)鼠,耗子
mouth	/mauθ/	n.口,嘴
move	/mu:v/	v.移动,迁移;活动;感动n.移动,活动,行动
movement	/'mu:vmənt/	n.运动,活动;移动,迁移
movie	/'mu:vi/	n.电影,电影院
much	/mʌtʃ/	a.多的,大量的ad.十分,非常;到极大程度
mud	/mʌd/	n.泥,泥浆v.弄脏,使沾污泥
mug	/mʌɡ/	n.(有柄的)大茶杯
multiple	/'mʌltipl/	a.多样的,多重的n.倍数v.成倍增加
multiply	/'mʌltiplai/	v.(by)乘,使相乘;倍增,增加,繁殖
multitude	/'mʌlti,tju:d,-,tu:d/	n.众多,大量
municipal	/mju:'nisipəl/	a.市(立,政)的;地方性的,地方自治的
murder	/'mə:də/	v./n.谋杀,凶杀
murmur	/'mə:mə/	v./n.小声说(话);小声抱怨,咕哝
muscle	/'mʌsl/	n.肌肉,体力
muscular	/'mʌskjulə/	a.肌肉的;肌肉发达的;强健的
museum	/mju:'ziəm/	n.博物馆,展览馆
mushroom	/'mʌʃru:m,-rum/	n.蘑菇vt.迅速生长,迅速增加,采蘑菇
music	/'mju:zik/	n.音乐,乐曲,乐谱
musical	/'mju:zikəl/	a.音乐的;有音乐才能的n.音乐片
musician	/mju:'ziʃən/	n.音乐家,乐师
must	/mʌst/	aux.&v.必须;很可能;一定要n.必须做的事
mute	/mju:t/	a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音
mutter	/'mʌtə/	n.喃喃而语,小声低语;抱怨v.低声说,抱怨
mutton	/'mʌtən/	n.羊肉
mutual	/'mju:tʃuəl,-tjuəl/	a.相互的,彼此的;共同的,共有的
my	/maɪ/	pron.(I的所有格)我的
myself	/mai'self/	pron./反身代词/我自己;我亲自
mysterious	/mi'stiəriəs/	a.神秘的,可疑的,难理解的
mystery	/'mistəri/	n.神秘,神秘的事物;神秘小说,侦探小说
myth	/miθ/	n.神话;虚构的理论
nail	/neil/	n.指甲,爪;钉v.将…钉牢,钉住
naive	/nɑ:'i:v,nai-/	a.天真的
naked	/'neikid/	a.裸体的,无遮敝的,无掩饰的
name	/neim/	n.名字(称/声/义)vt.给…取名;列举;提名
namely	/'neimli/	ad.即,也就是
nap	/næp/	n.小睡,打盹
napkin	/'næpkin/	n.餐巾,餐巾纸,<英>尿布
narrative	/'nærətiv/	a.叙述性的n.叙述
narrow	/'nærəu/	a.狭窄的,狭的,狭隘的
nasty	/'nɑ:sti,'næs-/	a.肮脏的,卑劣的,下流的;令人厌恶的
nation	/'neiʃən/	n.民族,国家
national	/'næʃənəl/	a.民族的,国家的,国立的
nationality	/,næʃən'æliti/	n.国籍,民族
native	/'neitiv/	a.本地的,本国的;天生的n.本地人,本国人
natural	/'nætʃərəl/	a.正常的;自然界的,天然的,天赋的,固有的
nature	/'neitʃə/	n.自然界,大自然;性质,本性,天性
naughty	/'nɔ:ti/	a.顽皮的,淘气的
naval	/'neivəl/	n.海军的,军舰的
navigation	/,nævi'ɡeiʃən/	n.航海,航空;导航,领航
navy	/'neivi/	n.海军
near	/niə/	a.近的,接近的;亲近的prep.靠近ad.接近
nearby	/'niə'bai/	a.附近的ad.在附近prep.在…附近
nearly	/'niəli/	ad.差不多,几乎
neat	/ni:t/	a.整洁的,干净的,优美的,精致的
necessary	/'nesisəri/	a.必需的,必要的;必然的n.必需品
necessitate	/ni'sesi,teit,nə-/	v.使成为必要,需要
necessity	/ni'sesəti,nə-/	n.必要性,需要;必然性;(pl.)必需品
neck	/nek/	n.颈脖
necklace	/'neklis/	n.项链,项圈
need	/ni:d/	aux.v./v.需要;必须n.需要;贫困,困窘
needle	/'ni:dl/	n.针,指针,针状物
negative	/'neɡətiv/	a.否定的,消极的,阴性的n.负数;(摄影)底片
neglect	/ni'ɡlekt/	v./n.忽视;疏忽,漏做,忽略
negligible	/'neɡlidʒəbl/	a.可忽略不计的,微不足道的
negotiate	/ni'ɡəuʃieit,-si-/	v.商订;谈判,洽谈,交涉
Negro	/ˈniːɡroʊ/	n.黑人a.黑人的
neighbor	/'neibə/	n.(neighbour)邻居
neighborhood	/'neibəhud/	n.(neighbourhood)邻居;四邻,街道
neither	/'naiðə,'ni:-/	a.两者都不pron.两者都不ad.也不
nephew	/'nefju:,'nev-/	n.侄子,外甥
nerve	/nə:v/	n.神经;勇敢,胆量
nervous	/'nə:vəs/	a.神经的;神经过敏的,紧张不安的
nest	/nest/	n.窝,巢v.筑巢
net	/net/	n.网,网状物v.用网捕,使落网a.纯净的
network	/'netwə:k/	n.网状物;广播网,电视网;网络
neutral	/'nju:trəl/	a.中立的;中性的,中和的
never	/'nevə/	ad.永不,从不,决不;从来没有;不,没有
nevertheless	/,nevəðə'les/	conj.(nonetheless)然而,不过ad.仍然,不过
new	/nju:,nu:/	a.新(近)的;新来的;不熟悉的;没经验的
news	/nju:z,nu:z/	n.新闻,消息;新闻报道,新闻广播
newspaper	/'nju:s,peipə,'nju:z-/	n.报纸
next	/nekst/	a.紧接的,其次的;贴近的ad.其次;居后
nice	/nais/	a.美好的,令人愉快的;友好的,亲切的
nickel	/'nikəl/	n.镍;镍币;五美分
nickname	/'nikneim/	n.绰号,浑名vt.给…起绰号
niece	/ni:s/	n.侄女,甥女
night	/nait/	n.夜间;夜;晚(上)
nightmare	/'naitmεə/	n.恶梦;可怕的事物,无法摆脱的恐惧
nine	/nain/	num.九pron./ad.九(个,只...)
nineteen	/,nain'ti:n/	num./a.十九pron.十九(个,只...)
ninety	/'nainti/	num.九十,九十个
nitrogen	/'naitrədʒən/	n./化/氮
no	/nəu/	ad.不是,不a.没有的;不允许n.不,拒绝
noble	/'nəubl/	a.高尚的;贵族的,高贵的n.贵族
nobody	/'nəubədi,-bɔdi/	pron.谁也不,无人n.小人物
nod	/nɔd/	v.点(头),点头招呼n.点头招呼;打盹,瞌睡
noise	/nɔiz/	n.喧闹声,噪声,吵嚷声
noisy	/'nɔizi/	a.吵闹的,喧闹的
nominal	/'nɔminəl/	a.名义上的;(金额,租金)微不足道的
nominate	/'nɔmineit/	v.提名,任命
none	/nʌn/	pron.没有任何人(东西);都不ad.一点也不
nonetheless	/ˌnʌnðəˈles/	ad.虽然如此,但是
nonsense	/'nɔnsəns/	n.胡说,废话
noodle	/'nu:dl/	n.(常用复数)面条
noon	/nu:n/	n.中午,正午
nor	/nɔ:,弱nə/	conj.／ad.也不,也没有
norm	/nɔ:m/	n.准则,规范,准则,平均数
normal	/'nɔ:məl/	a.正常的,普通的;正规的,标准的
normalization	/,nɔ:məlai'zeiʃən/	n.(normalisation)正常化,标准化
north	/nɔ:θ/	n.北,北方a.北方的,北部ad.向北方,在北方
northeast	/,nɔ:θ'i:st/	n.东北a.东北方的ad.向东北,在东北
northern	/ˈnɔːrðərn/	a.北方的,北部的
northwest	/,nɔ:θ'west/	n.西北方,西北部a.西北的ad.向西北,在西北
nose	/nəuz/	n.鼻子;(飞机,船等的)前端,突出部分
not	/nɔt/	ad.不,不是,不会;没有
notable	/'nəutəbl/	n.值得注意的,显著的,著名的
note	/nəut/	n.笔记;按语,注释;钞票,纸币v.记下,摘下
notebook	/'nəutbuk/	n.笔记本
nothing	/'nʌθiŋ/	n.没有东西;什么也没有;无关紧要的人或事
notice	/'nəutis/	n.通知,通告,布告;注意,认识v.注意到,注意
noticeable	/'nəutisəbl/	a.显而易见的,值得注意的,重要的
notify	/'nəutifai/	v.通知,告知,报告
notion	/'nəuʃən/	n.概念,想法,意念,看法,观点
notorious	/nəu'tɔ:riəs/	a.臭名昭著的,声名狼藉的
notwithstanding	/,nɔtwiθ'stændiŋ/	prep./ad./conj.尽管
noun	/naun/	n.名词
nourish	/'nʌriʃ,'nə:-/	v.提供养分,养育,怀有(希望,仇恨等)
novel	/'nɔvəl/	n.(长篇)小说a.新奇的,新颖的
novelty	/'nɔvəlti/	n.新奇,新颖,新奇的事物
November	/noʊˈvembər/	n.十一月
now	/nau/	ad.现在,如今,目前;当时,于是,然后
nowadays	/'nauədeiz/	ad.现今,现在
nowhere	/'nəuhwεə/	ad.任何地方都不,没有地方
nuclear	/'nju:kliə,'nu:-/	a.核心的,中心的;原子核的,核能的
nucleus	/'nju:kliəs/	n.(pl.nuclei)核,核心,原子核
nuisance	/'nju:səns/	n.讨厌的人(或东西);麻烦事
numb	/nʌm/	a.麻木的,失去感觉的v.使麻木
number	/'nʌmbə/	n.数,数字,数量,号码,一群v.共计,编号
numerical	/nju:'merikəl/	a.数字的,用数字表示的,数值的
numerous	/'nju:mərəs/	a.众多的,许多的,大批的
nurse	/nə:s/	n.护士,保姆v.护理,看护
nursery	/'nə:səri/	n.托儿所
nurture	/'nə:tʃə/	n./v.养育,教育,教养n.营养品v.给与营养物
nut	/nʌt/	n.坚果;螺母,螺帽
nutrition	/nju:'triʃən/	n.营养,营养学
nylon	/'nailɔn/	n.尼龙
oak	/əuk/	n.橡树,橡木a.橡木的
oar	/ɔ:,əu/	n.桨,橹v.划,划动,划行
oath	/əuθ/	n.誓言,誓约,诅咒
obedience	/əu'bi:diəns/	n.服从,顺从
obedient	/əu'bi:diənt/	a.服从的,顺从的
obey	/əu'bei/	v.服从,顺从
object	/'ɔbdʒikt/	n.物体;客体,对象;目标;宾语v.(to)反对
objection	/əb'dʒekʃən,ɔb-/	n.(to)反对,异议,不喜欢,反对的理由
objective	/əb'dʒektiv,ɔb-/	n.目标,目的a.客观的,真实的
obligation	/,ɔbli'ɡeiʃən/	n.义务,责任
oblige	/ə'blaidʒ/	v.强迫,迫使;责成;(使)感激,施恩于
obscure	/əb'skjuə,ɔb-/	a.暗的,朦胧的;模糊的,晦涩的
observation	/,ɔbzə:'veiʃən/	n.观察,观测,监视;(pl.)观察资料;观察力
observe	/əb'zə:v/	v.观察,观测,注意到,监视,遵守,评述,说
obsession	/əb'seʃən,ɔb-/	n.迷住,困扰
obsolete	/'ɔbsəli:t,,ɔbsə'li:t/	a.已废弃的,过时的
obstacle	/'ɔbstəkl/	n.障碍(物),妨碍,阻碍,干扰
