a	/ei/	art.一(个);每一(个);(同类事物中)任一个
clear	/kliə/	a./ad.清晰的(地)vt.清除;使清楚vi.变清澈
clergy	/'klə:dʒi/	n./总称/牧师,神职人员
clerk	/klɑ:k,klə:k/	n.职员,办事员;店员
clever	/'klevə/	a.聪明的,伶俐的,机敏的,精巧的
click	/klik/	n.滴答声;vi.发出滴答声
client	/'klaiənt/	n.律师等的当事人,委托人;商店的顾客
cliff	/klif/	n.悬崖;峭壁
climate	/'klaimit/	n.气候;风气,社会思潮
climax	/'klaimæks/	n.顶点,高潮
climb	/klaim/	v./n.攀登,爬
cling	/klɪŋ/	v.(to)粘住;依附;坚持
clinic	/'klinik/	n.诊所
clip	/klip/	v.剪,修剪;钳,夹住n.夹,钳;回形针
cloak	/kləuk/	n.斗蓬,披风;掩饰,幌子vt.掩盖,掩饰
clock	/klɔk/	n.钟vt.记录(时间、速度等),为…计时
clockwise	/'klɔkwaiz/	a.顺时针方向
clone	/kləun/	n.无性繁殖,克隆;复制品v.克隆
close	/kləuz/	v./n.关;结束a./ad.近的(地);紧密的(地)
closet	/'klɔzit/	n.(壁)橱a.私下的vt.把…引进密室会谈
cloth	/klɔθ,klɔ:θ/	n.(一块)布,织物,衣料
clothe	/kləuð/	v.(给…)穿衣,供给…衣服
clothes	/kləuðz/	n.衣服(虽为复数,亦不可数)
clothing	/'kləuðiŋ/	n.服装,被褥
cloud	/klaud/	n.云(状物);遮暗物,阴影;一大群
cloudy	/'klaudi/	a.多云的,阴(天)的;混浊的,模糊的
club	/klʌb/	n.俱乐部,夜总会;社团;棍棒,球棒
clue	/klu:/	n.线索,暗示
clumsy	/'klʌmzi/	a.笨拙的,愚笨的
cluster	/'klʌstə/	n.丛,群,串v.群集,丛生
clutch	/klʌtʃ/	v.抓住,攫住,掌握n.离合器
coach	/kəutʃ/	n.长途公共汽车;教练vt.训练,指导,培训
coal	/kəul/	n.煤,煤块
coalition	/,kəuə'liʃən/	n.结合体,同盟;结合,联合
coarse	/kɔ:s/	a.粗糙的,粗劣的;粗鲁的,粗俗的
coast	/kəust/	n.海岸,海滨
coat	/kəut/	n.上衣,外套;表皮;层,覆盖物v.涂(盖)上
cocaine	/kə'kein/	n.可卡因,古柯碱（用作局部麻醉剂）
cock	/kɔk/	n.公鸡,雄鸡;龙头,开关
code	/kəud/	n.代码,代号,密码;法典,法规,规划
coffee	/'kɔfi/	n.咖啡(色)
cognitive	/'kɔɡnitiv/	a.认知的,认识能力的
coherent	/kəu'hiərənt/	a.一致的,协调的;(话语等)条理清楚的
cohesive	/kəu'hi:siv/	a.粘合性的,有结合力的
coil	/kɔil/	v.卷,盘绕n.(一)卷,(一)圈;线圈,绕组
coin	/kɔin/	n.硬币,货币v.铸造(硬币),创造(新词)
coincide	/,kəuin'said/	vi.同时发生;巧合;一致;相符;
coincidence	/kəu'insidəns/	n.巧合;同时发生,共同存在;符合,一致
coke	/kəʊk/	n.焦炭;可口可乐（COCA-COLA）的缩写
cold	/kəuld/	a.冷的,寒冷的;冷淡的n.冷,寒冷;伤风
collaborate	/kə'læbəreit/	vi.协作,合作;(与敌人)勾结
collapse	/kə'læps/	v./n.倒塌;崩溃;(价格)暴跌;倒闭,破产
collar	/'kɔlə/	n.衣领;环状物
colleague	/'kɔli:ɡ/	n.同事,同僚
collect	/kə'lekt/	v.收集,搜集;领取,接走;收(税等);聚集,堆积
collection	/kə'lekʃən/	n.收藏(品),收集(物)
collective	/kə'lektiv/	n.集体a.集体的,共同的
college	/'kɔlidʒ/	n.学院,高等专科学校,大学
collide	/kə'laid/	vi./with/互撞,碰撞;冲突,抵触
collision	/kə'liʒən/	n.碰撞;(利益,意见等的)冲突,抵触
colonel	/'kə:nəl/	n.(陆军)上校
colonial	/kə'ləunjəl/	a.殖民地的,关于殖民的n.殖民地居民
colony	/'kɔləni/	n.殖民地;侨民;聚居区;(动植物的)群体
color	/'kʌlə/	n.(=colour)颜色;颜料;肤色v.给…着色
column	/'kɔləm/	n.圆柱,柱状物;列;(报刊中的)专栏
comb	/kəum/	n.梳子v.梳(理)
combat	/'kɔmbæt,kəm'bæt/	v./n.战斗,搏斗,格斗
combination	/,kɔmbi'neiʃən/	n.结合,联合;化合;团体;组合数码
combine	/kəm'bain/	v.联合;结合;化合n.集团;联合企业
come	/kʌm/	v.来;出现于,产生;是,成为;开始,终于
comedy	/'kɔmidi/	n.喜剧;喜剧性事件
comfort	/'kʌmfət/	n.舒适,安逸;安慰,慰问v.安慰,使舒适
comfortable	/'kʌmfətəbl/	a.舒适的,舒服的;感到舒适的,安逸的
comic	/'kɔmik/	a.喜剧的,滑稽的n.连环漫画杂志;喜剧演员
command	/kə'mɑ:nd/	n./v.命令,指挥,控制n.掌握,运用能力
commemorate	/kə'meməreit/	vt.纪念,庆祝
commence	/kə'mens/	vt.开始vi.获得学位
commend	/kə'mend/	v.称赞,表扬：委托保管;推荐
comment	/'kɔment/	n.注释,评论,意见v.(on)注释,评论
commerce	/'kɔmə:s/	n.商业,贸易;交际,交往
commercial	/kə'mə:ʃəl/	a.商业的;商务的;可获利的n.广告节目
commission	/kə'miʃən/	n.委员会;委任,委托(书),代办;佣金,手续费
commit	/kə'mit/	v.把…交托给,提交;犯(错误),干(坏事)
committee	/kə'miti/	n.委员会,全体委员
commodity	/kə'mɔditi/	n.(pl.)日用品;商品;农/矿产品;有用之物
common	/'kɔmən/	a.普通的;共同的;一般的;n.公有地
commonplace	/'kɔmənpleis/	a.普通的,平庸的n.寻常的事物,平庸的东西
commonwealth	/'kɔmənwelθ/	n.共和国,联邦,共同体
communicate	/kə'mju:nikeit/	v.传达,传送;交流;通讯,通话
communication	/kə,mju:ni'keiʃən/	n.通讯,传达;(pl.)通讯系统;交通(工具)
communism	/'kɔmjunizəm/	n.共产主义
community	/kə'mju:niti/	n.同一地区的全体居民,社会,社区;共同体
commute	/kə'mju:t/	v.乘公交车上下班,乘车(船等)往返于两地
compact	/kəm'pækt/	a.紧密的,结实的;简明的v.使紧凑,压缩
companion	/kəm'pænjən/	n.同伴,共事者;伴侣
company	/'kɔmpəni/	n.公司;陪伴;宾客;连(队),(一)群,队,伙
comparable	/'kɔmpərəbl/	a.(with,to)可比较的,比得上的
comparative	/kəm'pærətiv/	a.比较的,相当的
compare	/kəm'pεə/	vt.(to,with)比较;(to)把…比作vi.相比
comparison	/kəm'pærisən/	n.比较,对比,比喻,比拟
compartment	/kəm'pɑ:tmənt/	n.卧车包房,(客车车厢内的)隔间;分隔的空间
compass	/'kʌmpəs/	n.罗盘,指南针;(pl.)圆规
compassion	/kəm'pæʃən/	n.同情;怜悯(for)
compatible	/kəm'pætəbl/	a.能和睦相处的,合得来的;兼容的
compel	/kəm'pel/	v.强迫,迫使
compensate	/'kɔmpenseit/	v.(for)补偿,赔偿
compensation	/,kɔmpen'seiʃən/	n.补偿(或赔偿)的款物;补偿,赔偿
compete	/kəm'pi:t/	vi.比赛;竞争;对抗
competent	/'kɔmpitənt/	a.有能力的,能胜任的;足够的
competition	/,kɔmpi'tiʃən/	n.竞争,比赛;角逐,较量;/总称/竞争者
competitive	/kəm'petitiv/	a.竞争的;好竞争的;(价格等的)有竞争力的
compile	/kəm'pail/	vt.编辑,编制,搜集
complain	/kəm'plein/	v.(about,of)抱怨;申诉
complaint	/kəm'pleint/	n.抱怨,诉苦,怨言,控告;疾病
complement	/'kɔmplimənt/	n.补足物,船上的定员;补语vt.补充,补足
complete	/kəm'pli:t/	a.完全的,圆满的v.完成,结束,使完满
complex	/'kɔmpleks/	a.复杂的;合成的,综合的n.联合体
complicate	/'kɔmplikeit/	v.使..复杂;使..难懂;使（疾病等）恶化;
complicated	/'kɔmplikeitid/	a.错综复杂的,麻烦的,难解的
complication	/,kɔmpli'keiʃən/	n.复杂,纠纷;并发症
compliment	/'kɔmplimənt/	n.(pl.)问候,致意n./v.称赞,恭维
comply	/kəm'plai/	v.(with)遵照,照做,应允;顺从,服从
component	/kəm'pəunənt/	n.组成部分,成分,元件a.组成的,合成的
compose	/kəm'pəuz/	v.组成,构成;(of)由…组成;创作(诗歌等)
composite	/'kɔmpəzit/	a.混合成的,综合成的n.合成物,复合材料
composition	/,kɔmpə'ziʃən/	n.作品,作文,乐曲;作曲;结构,组成,成分
compound	/'kɔmpaund/	n.混合物,化合物a.混合的,化合的;vt.混合
comprehend	/,kɔmpri'hend/	vt.理解,领会;包含,包括
comprehension	/,kɔmpri'henʃən/	a.理解(力),领悟;包含,包含力
comprehensive	/,kɔmpri'hensiv/	a.内容广泛的,总括性的,综合的
compress	/kəm'pres,'kɔmpres/	vt.压紧,压缩;(把思想、文字等)浓缩
comprise	/kəm'praiz/	vt.包含,包括,由...组成;构成,组成
compromise	/'kɔmprəmaiz/	n.妥协,折衷vi.妥协vt.危及,放弃(原则等)
compulsory	/kəm'pʌlsəri/	a.必须做的,强制性的,(课程)必修的
compute	/kəm'pju:t/	v./n.计算,估计
computer	/kəm'pju:tə/	n.计算机,电脑;计算者
comrade	/'kɔmrid/	n.同志,同事,同伴,朋友
conceal	/kən'si:l/	v.隐藏,隐瞒,隐蔽
concede	/kən'si:d/	vt.承认;容许;(比赛结束前)认输;退让
conceive	/kən'si:v/	v.(of)设想,构思,想象;以为;怀胎,怀有
concentrate	/'kɔnsəntreit/	v.(on)集中,专心;浓缩n.浓缩物
concentration	/,kɔnsən'treiʃən/	n.专心,专注;集中,集结;浓度
concept	/'kɔnsept/	n.概念,观念,设想
concern	/kən'sə:n/	v.涉及,关系到v./n.关心n.(利害)关系
concerning	/kən'sə:niŋ/	prep.关于,论及
concert	/kən'sə:t,'kɔnsə:t/	n.音乐会,演奏会;一齐,一致
concession	/kən'seʃən/	n.让步,妥协;特许(权);
concise	/kən'sais/	a.简明的,简洁的
conclude	/kən'klu:d/	v.结束,终止;断定,下结论;缔结,议定
conclusion	/kən'klu:ʒən/	n.结论,推论;结尾;缔结,议定
concrete	/kən'kri:t,'kɔnkri:t/	a.具体的,实质性的n.混凝土v.用混凝土修筑
condemn	/kən'dem/	v.谴责,指责;判刑,宣告有罪
condense	/kən'dens/	v.(使)冷凝,(使)凝结;浓缩,压缩,简缩
condition	/kən'diʃən/	n.条件,状况,环境vt.决定;支配;训练
conduct	/'kɔndʌkt,kən'dʌkt/	n.行为,品行v.引导;管理;指挥(乐队);传导
conductor	/kən'dʌktə/	n.管理者;(汽车)售票员;领队,指挥;导体
confer	/kən'fə:/	v.商讨;授予,颁给(勋衔,学位等)
conference	/'kɔnfərəns/	n.(正式)会议;讨论,商谈
confess	/kən'fes/	v.供认,承认,坦白,忏悔
confidence	/'kɔnfidəns/	n.(in)信任;信心,自信;秘密,机密
confident	/'kɔnfidənt/	n.(of,in)确信的,自信的
confidential	/,kɔnfi'denʃəl/	a.秘(机)密的;表示信任的;担任机密工作的
confine	/kən'fain,'kɔnfain/	vt.限制;使不外出,禁闭n./pl./界限,范围
confirm	/kən'fə:m/	v.使更坚固,使更坚定;(进一步)证实;确认
conflict	/kən'flikt,'kɔnflikt/	n.战斗,斗争;抵触,冲突v.(with)抵触,冲突
conform	/kən'fɔ:m/	vi.(to)遵守,适应;相似,一致,符合
confront	/kən'frʌnt/	v.使面临,使遭遇;面对(危险等)
confuse	/kən'fju:z/	v.使混乱,混淆
confusion	/kən'fju:ʒən/	n.困惑,糊涂;混淆;混乱,骚乱
congratulate	/kən'ɡrætʃu,leit/	v.(on)祝贺,向…致贺词
congratulation	/kən,ɡrætʃu'leiʃən/	n.(on)祝贺,(pl.)祝贺词
congress	/'kɔŋɡres,kən'ɡres/	n.(代表)大会;(美国等国的)国会,议会
conjunction	/kən'dʒʌŋkʃən/	n.接合,连接,联合;连(接)词
connect	/kə'nekt/	vt.连接;与…联系,接通(电话)vi.连接
connection	/kə'nekʃən/	n.(connexion)联系,连接;亲戚,社会关系
conquer	/'kɔŋkə/	v.征服,战胜,占领;克服,破除(坏习惯等)
conquest	/'kɔŋkwest/	n.征服,征服地,掠取物
conscience	/'kɔnʃəns/	n.良心,良知
conscientious	/,kɔnʃi'enʃəs/	a.审慎正直的,认真的,本着良心的
conscious	/'kɔnʃəs/	a.(of)意识到的,自觉的;神志清醒的
consecutive	/kən'sekjutiv/	a.连续的;连贯的;顺序的
consensus	/kən'sensəs/	n.(意见等的)一致,一致同意,共识
consent	/kən'sent/	v./n.(to)同意,赞成,答应
consequence	/'kɔnsi,kwəns/	n.结果,后果,影响;重要性
consequently	/'kɔnsi,kwəntli/	ad.结果,因此,所以
conservation	/,kɔnsə'veiʃən/	n.保存,保护,保守;守恒,不灭
conservative	/kən'sə:vətiv/	a.保守的,守旧的n.保守主义者
consider	/kən'sidə/	v.考虑,细想;体谅,顾及;认为,把…看作
considerable	/kən'sidərəbl/	a.相当大(或多)的,可观的;值得考虑的
considerate	/kənˈsɪdərət/	a.考虑周到的,体谅的
consideration	/kən,sidə'reiʃən/	n.需要考虑的事,理由;考虑,思考;体谅,照顾
consist	/kən'sist/	v.(in)在于,存在于;(of)由…组成,由…构成
consistent	/kən'sistənt/	a.(in)前后一致的;（with）一致,符合
console	/kən'səul/	n.控制台,仪表板;落地柜vt.安慰,慰问
consolidate	/kən'sɔlideit/	v.使加固,使加强;(把...)联为一体,合并
conspicuous	/kən'spikjuəs/	a.显眼的,明显的
conspiracy	/kən'spirəsi/	n.阴谋,密谋,共谋
constant	/'kɔnstənt/	a.固定的,持续的,忠实的n.常数,恒量
constituent	/kən'stitjuənt/	n.选民;成分,组分a.组成的,构成的
constitute	/'kɔnstitju:t/	vt.组成,构成,形成;设立,建立,任命
constitution	/,kɔnsti'tju:ʃən/	n.构成,构造,组成(方式),成分;体格;宪法
constrain	/kən'strein/	vt.限制,约束;克制,抑制
construct	/kən'strʌkt/	v.建设,建造,构造;创立
construction	/kən'strʌkʃən/	n.建造,构造;建筑物,结构;释义,解释
consult	/kɔn'sʌlt,'kɔnsʌlt/	v.请教,向...咨询,找...商量;查阅,查看
consultant	/kən'sʌltənt/	n.会诊医师,顾问医生;顾问
consume	/kən'sju:m/	vt.消耗;吃完,喝光;(with)使着迷;烧毁
consumption	/kən'sʌmpʃən/	n.消费(量),消耗
contact	/'kɔntækt,kən'tækt/	v./n.(使)接触,联系,交往
contain	/kən'tein/	v.包含,容纳;容忍,抑制;可被...除尽
container	/kən'teinə/	n.容器;集装箱
contaminate	/kən'tæmi,neit/	v.弄污,弄脏,毒害,传染,染污
contemplate	/'kɔntəm,pleit/	vt.盘算,计议;周密考虑;注视,凝视
contemporary	/kən'tempərəri/	a.现代的,当代的;同时代的
contempt	/kən'tempt/	n.轻视,藐视;受辱,丢脸
contend	/kən'tend/	v.竞争,斗争;坚决主张
content	/'kɔntent/	n.容量,内容,(pl.)目录a.(with)满足的
contest	/'kɔntest,kən'test/	n.竞争,竞赛,比赛v.竞争,比赛,争论
context	/'kɔntekst/	n.（文章等）前后关系;(事件等发生的)背景
continent	/'kɔntinənt/	n.大陆,洲
continual	/kən'tinjuəl/	a.不断的,连续的,频繁的
continue	/kən'tinju:/	v.继续,连续,延伸
continuous	/kən'tinjuəs/	a.连续的,持续的
contract	/'kɔntrækt,kən'trækt/	n.(承包)合同/契约v.订合同/契约;使缩小
contradict	/,kɔntrə'dikt/	v.反驳;同…矛盾,同…抵触
contradiction	/,kɔntrə'dikʃən/	n.反驳,否认;矛盾,不一致
contrary	/'kɔntrəri/	a.(to)相反的,矛盾的n.反对,矛盾;相反
contrast	/kən'trɑ:st,-'træst/	n.对比,对照vi.形成对比vt.把…与…对比
contribute	/kən'tribju:t/	v.(to)贡献,捐助,捐献;投稿
contribution	/,kəntri'bju:ʃən/	n.贡献;捐款,捐献物;投稿
contrive	/kən'traiv/	vt.谋划,策划;设法做到;设计,想出
control	/kən'trəul/	n.(over)控制,支配v.控制,支配
controversial	/,kɔntrə'və:ʃəl/	a.引起争论的,有争议的
controversy	/'kɔntrə,və:si/	n.争论,辩论,争吵
convenience	/kən'vi:njəns/	n.便利,方便;(pl.)便利设备
convenient	/kən'vi:njənt/	a.(to)便利的,方便的
convention	/kən'venʃən/	n.大会,会议;惯例,常规,习俗;公约,协定
conventional	/kən'venʃənəl/	a.惯例的,常规的
conversation	/,kɔnvə'seiʃən/	n.会话,谈话
conversely	/ˈkɒnvɜːsli/	ad.相反地
conversion	/kən'və:ʃən/	n.转变,转换;信仰的改变;
convert	/kən'və:t/	v.变换,转换;改变（信仰等）;兑换（钱）
convey	/kən'vei/	v.运送,搬运,转运;传达,传播
convict	/kən'vikt/	v.(经审讯)证明…有罪,宣判…有罪n.囚犯
conviction	/kən'vikʃən/	n.深信,确信;定罪,判罪;
convince	/kən'vins/	v.(of)使信服,使确信
cook	/kuk/	n.厨师v.烹调,烧煮;纂改(账目),捏造
cool	/ku:l/	a.凉的;冷静的n.凉快ad.冷静地v.使变凉
cooperate	/kəu'ɔpəreit/	v.(with)合作,协作,相配合
cooperative	/kəu'ɔpərətiv/	a.合作的,协作的n.合作社
coordinate	/kəu'ɔ:dineit/	a.同等的,并列的;坐标的n.坐标
coordinates	/kəu'ɔ:dineits/	a.同等的n.同等者,坐标vt.协作,协调
cop	/kɒp/	n.警察(slang俚语)
cope	/kəup/	v.(with)竞争,对抗;(with)对付,妥善处理
copper	/'kɔpə/	n.铜;铜币,铜制器
copy	/'kɔpi/	n.抄本,摹本;(一)本vt.抄写;考试中抄袭
copyright	/'kɔpi,rait/	n.／a.版权(的)
cord	/kɔ:d/	n.绳,索
cordial	/'kɔ:djəl/	a.诚恳的,亲切的,热诚的
core	/kɔ:/	n.果核;中心,核心
corn	/kɔ:n/	n.谷物,庄稼,玉米
corner	/'kɔ:nə/	n.角,街角;偏僻处;vt.将…逼入困境;
corporation	/,kɔ:pə'reiʃən/	n.市镇自治机关;法人;公司,企业
correct	/kə'rekt/	a.正确的,恰当的,端正的v.改正,纠正,矫正
correlate	/'kɔ:rə,leit/	n.相互关联的事物v.(with,to)(使)互相关联
correspond	/,kɔ:ri'spɔnd/	v.通信,(with)符合,一致;(to)相当于,对应
correspondence	/,kɔ:ris'pɔndəns/	n.通信,信件;(with)符合;(to)相当于,对应
correspondent	/,kɔ:ri'spɔndənt/	n.记者,通讯员;通信者
corresponding	/,kɔ:ri'spɔndiŋ/	a.符合的,相应的,对应的
corridor	/'kɔridɔ:/	n.走廊,通道
corrode	/kə'rəud/	v.(受)腐蚀,侵蚀
corrupt	/kə'rʌpt/	v.贿赂,收买a.腐败的,贪污的
cosmic	/'kɔzmik/	a.宇宙的;无比巨大的,无穷尽的
cost	/kɔst/	n.成本,费用,代价v.价值为,花费
costly	/'kɔstli/	a.昂贵的,价值高的,豪华的
costume	/'kɔstju:m,kɔ'stju:m/	n.(流行的)服饰;戏装,(特定场合的)套装
cosy	/'kəuzi/	a.暖和舒服的;舒适的/反/uncomfortable
cottage	/'kɔtidʒ/	n.村舍,小屋,别墅
cotton	/'kɔtən/	n.棉花;棉线,棉纱;棉制品
couch	/kautʃ/	n.长沙发;(病人躺的)长榻vt.表达
cough	/kɔ:f/	v./n.咳嗽
could	/强kud,弱kəd/	v.aux.(口语)(表示许可或请求）可以...,行
council	/'kaunsəl/	n.理事会,委员会,议事机构
counsel	/'kaunsəl/	v./n.劝告,忠告n.法律顾问,辩护人
count	/kaunt/	v.数,计算;算入;看作,认为n.计数,总数
counter	/'kauntə/	n.柜台;计数器a./ad.相反(的)v.反对,反击
counterpart	/'kauntə,pɑ:t/	n.对应的人(或物)
country	/'kʌntri/	n.国家;农村,乡下
countryside	/'kʌntri,said/	n.乡下,农村
county	/'kaunti/	n.(英国)郡,(美国)县
couple	/'kʌpl/	n.(一)对,双;夫妇;v.连接,结合
coupon	/'ku:pɔn/	n.证明持券人有某种权利的卡片,票证,赠券
courage	/'kʌridʒ/	n.勇气,胆量
course	/kɔ:s/	n.课程,教程;过程,进程;路程,路线;一道菜
court	/kɔ:t/	n.法院,法庭;宫廷,朝廷;院子;球场
courtesy	/'kə:tisi/	n.谦恭有礼;有礼貌的举止(或言词)
courtyard	/'kɔ:t,jɑ:d/	n.院子,庭院,天井
cousin	/'kʌzən/	n.堂(或表)兄弟,堂(或表)姐妹
cover	/'kʌvə/	v.覆盖,包括,涉及n.盖子,套子;(书的)封面
cow	/kau/	n.母牛,奶牛
coward	/'kauəd/	n.懦夫,胆怯者
crab	/kræb/	n.螃蟹,蟹肉
crack	/kræk/	n.裂纹,缝隙;破裂声v.(使)破裂,砸开
cradle	/'kreidl/	n.摇篮;发源地
craft	/krɑ:ft,kræft/	n.工艺,手艺,技巧;飞机,飞船
crane	/krein/	n.起重机,鹤
crash	/kræʃ/	v./n.碰撞,坠落,摔坏n.失败,瓦解;爆裂声
crawl	/krɔ:l/	v./n.爬行,蠕动;缓慢(的)行进
crazy	/'kreizi/	a.疯狂的,古怪的,蠢的;(about)狂热的
cream	/kri:m/	n.乳脂,(鲜)奶油;奶油色
create	/kri'eit/	v.创造,创作;引起,造成,建立
creative	/kri'eitiv/	a.有创造力的,创造性的
creature	/'kri:tʃə/	n.人,动物;生物
credential	/kri'denʃəl/	n.凭证,(pl.)国书,证明书
credit	/'kredit/	v./n.信用,信任n.信用贷款,赊欠;名誉,名望
creep	/kri:p/	v.爬,爬行;(植物)蔓延
crew	/kru:/	n.全体船员,全体乘务员
cricket	/'krikit/	n.板球;蟋蟀
crime	/kraim/	n.罪行,犯罪
criminal	/'kriminəl/	n.罪犯,刑事犯a.犯罪的,刑事的
cripple	/'kripl/	n.跛子,残疾人v.使跛,使残疾
crisis	/'kraisis/	n.(pl.crises)危机,紧要关头
crisp	/krisp/	a.脆的,易碎的;简明扼要的;（空气）清爽的
criterion	/krai'tiəriən/	n.(pl.criteria或criterions)标准,尺度
critic	/'kritik/	n.批评家,评论家
critical	/'kritikəl/	a.批评的,评论的;危急,紧要的;临界的
criticism	/'kriti,sizəm/	n.评论性的文章,评论;批评,指责,非难
criticize	/'kriti,saiz/	v.(criticise)批评,评论
crop	/krɔp/	n.作物,庄稼;(谷类等的)一熟收成;一批,大量
cross	/krɔ:s/	n.十字(架);苦难a.交叉的;发怒的v.穿过
crown.乌鸦v.	/n.鸡啼,鸣叫
crowd	/kraud/	n.人群;一群,一伙v.聚集,群集;挤满,拥挤
crown	/kraun/	n.王冠,冕;君权,君王v.为…加冕
crucial	/'kru:ʃəl/	a.至关重要的,决定性的
crude	/kru:d/	a.天然的,未加工的;未熟的;粗鲁的,粗野的
cruel	/'kru:əl/	a.残忍的,残酷的
cruise	/kru:z/	v.巡航;以节省燃料的速度前进n.乘船巡游
crush	/krʌʃ/	n./v.压碎,压坏v.压服,压垮
crust	/krʌst/	n.外皮,壳;地壳
cry	/krai/	n.&v.叫,喊,哭;(鸟兽)叫,啼,鸣,嗥
crystal	/'kristəl/	n.水晶,水晶饰品;结晶a.水晶的,透明的
cube	/kju:b/	n.立方形,立方体;立方,三次幂
cucumber	/'kju:kʌmbə/	n.黄瓜
cue	/kju:/	暗示,提示,球杆
cultivate	/'kʌltiveit/	v.耕作,栽培,养殖;培养,教养,磨炼
culture	/'kʌltʃə/	n.文化,文明;修养;耕种;栽培,培育;
cunning	/'kʌniŋ/	a./n.狡猾(的),狡诈(的)
cup	/kʌp/	n.杯子;奖杯,优胜杯;(一)杯,一杯的容量
cupboard	/'kʌbəd/	n.碗柜,小橱
curb	/kə:b/	n.路边,场外证券市场,vt.制止,抑制
cure	/kjuə/	v.(of)治愈,医治;矫正n.治愈,痊愈;良药
curiosity	/,kjuri'ɔsiti/	n.好奇心;古董,古玩
curious	/'kjuəriəs/	a.好奇的,求知的,古怪的,爱挑剔的
curl	/kə:l/	v.(使)卷曲,蜷缩n.卷发;卷曲状;卷曲物
currency	/'kərənsi/	n.流传,流通;通货,货币
current	/'kʌrənt/	n.电流,水流;潮流,趋势a.当前的;流通的
curriculum	/kə'rikjuləm/	n.(pl.curricula)课程,(学校等的)全部课程
curse	/kə:s/	n.诅咒,咒语,祸因vt.诅咒,咒骂,使受罪
curtain	/'kə:tən/	n.窗帘,门帘;幕(布);结束;vt遮掩
curve	/kə:v/	n.曲线,弯曲(物)v.弄弯,成曲形
cushion	/'kuʃən/	n.垫子,软垫vt.装垫子;缓和,减轻;
custom	/'kʌstəm/	n.习惯,风俗,惯例;(pl.)海关,关税
customary	/'kʌstə,məri/	a.习惯的,惯例的
customer	/'kʌstəmə/	n.顾客,主顾
cut	/kʌt/	n./v.切,割,削;削减,删节n.切口,伤口
cyberspace	/'saibə,speis/	n.虚拟信息空间;网络空间
cycle	/'saikl/	n.自行车;周期,循环v.骑自行车;循环
cylinder	/'silində/	n.圆筒,圆锥体;汽缸
daily	/'deili/	a.每日的ad.每日,天天n.日报
dairy	/'dεəri/	n.牛奶场,奶店
dam	/dæm/	n.水坝,水闸
damage	/'dæmidʒ/	v./n.损害,毁坏n.(pl.)损害赔偿费
damn	/dæm/	int.该死vt.遣责;使失败a.十足的ad.极
damp	/dæmp/	n.潮湿a.潮湿的vt.使潮湿;使衰减
dance	/dɑ:ns,dæns/	n.舞(蹈);舞曲,舞会v.跳舞;跳动
danger	/'deindʒə/	n.危险;威胁;危险事物
dangerous	/'deindʒərəs/	a.危险的,不安全的
dare	/dεə/	v.敢,胆敢
dark	/'dɑ:k/	a.黑暗的,深(色)的;隐秘的;n.无光,黑暗
darling	/'dɑ:liŋ/	n.心爱的人,亲爱的
dash	/dæʃ/	v./n.冲,猛冲,突进n.破折号
data	/'deitə/	n.(datum的复数)资料,数据
database	/'deitəbeis/	n.(databank)数据库
date	/deit/	n.日期,年代v.注明…的日期n./v.约会
daughter	/'dɔ:tə/	n.女儿
dawn	/dɔ:n/	n.黎明,拂晓v.破晓;开始现出
day	/dei/	n.天,一昼夜;白昼,白天;时期,时代
daylight	/'deilait/	n.日光,白昼,黎明
daytime	/'deitaim/	n.白天,日间
dazzle	/'dæzl/	v.使惊奇,使倾斜;耀(眼)n.耀眼的光
dead	/ded/	a.死的;无生命的;死气沉沉的ad.完全地
deadline	/'dedlain/	n.最后期限
deadly	/'dedli/	a.致命的;势不两立的;极度的;必定的
deaf	/def/	a.聋的;不愿听的
deal	/di:l/	v.处理;做买卖,经营;分配;对待n.交易
dealer	/'di:lə/	n.商人
dean	/diːn/	n.(大学)院长;主持牧师;(基督教)教长
dear	/diə/	a.昂贵的;亲爱的;珍贵的int.呵！哎呀！
death	/deθ/	n.死,死亡;灭亡,毁灭,死因
debate	/di'beit/	v./n.争论,辩论
debt	/det/	n.债,债务
decade	/'dekeid/	n.十年
decay	/di'kei/	v./n.腐朽,腐烂;衰减,衰退
deceit	/di'si:t/	n.欺骗,欺骗行为
deceive	/di'si:v/	v.欺骗,蒙蔽
December	/dɪˈsembə(r)/	n.十二月
decent	/'di:sənt/	a.体面的;正派的,合乎礼仪的;合适的
decide	/di'said/	v.决定,下决心;解决,裁决
decimal	/'desiməl/	a.十进的,小数的,十进制的n.小数
decision	/di'siʒən/	n.决定,决心;决议;决策
decisive	/di'saisiv/	a.决定性的
deck	/dek/	n.甲板
declaration	/,deklə'reiʃən/	n.宣言,宣布,声明
declare	/di'klεə/	v.宣布,宣告,声明;断言,宣称
decline	/di'klain/	v.下降,衰落;拒绝n.下降;斜面,倾斜,衰落
decorate	/'dekəreit/	v.装饰,装璜,布置
decrease	/di'kri:s/	n.减少,减小;减少量v.减少,变少,降低
dedicate	/'dedikeit/	vt.奉献;献身于
deduce	/di'dju:s/	vt.(from)演绎,推断,推论
deduct	/di'dʌkt/	vt.扣除;演绎(推理)
deed	/di:d/	n.行为,行动;功绩,事迹;证书;契据
deem	/di:m/	v.认为,相信
deep	/di:p/	a.深的,深长的;深奥的;强烈的ad.深入的,迟
deer	/diə/	n.鹿
